Categoria;Data ordine;Segmento;Obiettivo di vendita (Obiettivo di vendita)
Tecnologia;28/04/2022;Privati;45
Tecnologia;28/04/2022;Piccole aziende;2239
Mobili;29/04/2022;Grandi aziende;84
Tecnologia;29/04/2022;Privati;825
Mobili;30/04/2022;Privati;126
Forniture per ufficio;30/04/2022;Privati;228
Forniture per ufficio;30/04/2022;Grandi aziende;1063
Mobili;01/05/2022;Privati;1868
Mobili;01/05/2022;Piccole aziende;63
Forniture per ufficio;01/05/2022;Privati;188
Forniture per ufficio;01/05/2022;Piccole aziende;15
Forniture per ufficio;02/05/2022;Privati;847
Forniture per ufficio;02/05/2022;Piccole aziende;90
Tecnologia;02/05/2022;Privati;74
Tecnologia;02/05/2022;Piccole aziende;24
Forniture per ufficio;03/05/2022;Privati;900
Forniture per ufficio;03/05/2022;Grandi aziende;109
Forniture per ufficio;03/05/2022;Piccole aziende;889
Tecnologia;03/05/2022;Privati;127
Forniture per ufficio;05/05/2022;Privati;106
Tecnologia;05/05/2022;Privati;391
Forniture per ufficio;06/05/2022;Privati;68
Mobili;07/05/2022;Piccole aziende;1156
Forniture per ufficio;07/05/2022;Privati;1236
Forniture per ufficio;07/05/2022;Piccole aziende;303
Tecnologia;07/05/2022;Piccole aziende;837
Forniture per ufficio;08/05/2022;Privati;383
Forniture per ufficio;08/05/2022;Grandi aziende;409
Tecnologia;08/05/2022;Privati;2883
Tecnologia;08/05/2022;Grandi aziende;1494
Mobili;09/05/2022;Privati;655
Forniture per ufficio;09/05/2022;Privati;431
Forniture per ufficio;09/05/2022;Grandi aziende;117
Forniture per ufficio;09/05/2022;Piccole aziende;25
Tecnologia;09/05/2022;Privati;68
Forniture per ufficio;10/05/2022;Privati;281
Forniture per ufficio;10/05/2022;Piccole aziende;97
Tecnologia;10/05/2022;Privati;130
Forniture per ufficio;12/05/2022;Privati;1755
Forniture per ufficio;12/05/2022;Grandi aziende;154
Forniture per ufficio;12/05/2022;Piccole aziende;159
Tecnologia;12/05/2022;Privati;362
Forniture per ufficio;13/05/2022;Privati;96
Forniture per ufficio;13/05/2022;Grandi aziende;66
Forniture per ufficio;14/05/2022;Privati;370
Mobili;15/05/2022;Privati;999
Forniture per ufficio;15/05/2022;Privati;45
Forniture per ufficio;15/05/2022;Grandi aziende;128
Tecnologia;15/05/2022;Grandi aziende;62
Mobili;16/05/2022;Privati;980
Mobili;16/05/2022;Piccole aziende;1023
Forniture per ufficio;16/05/2022;Privati;2129
Forniture per ufficio;16/05/2022;Piccole aziende;101
Tecnologia;16/05/2022;Privati;1730
Forniture per ufficio;17/05/2022;Privati;139
Forniture per ufficio;17/05/2022;Grandi aziende;89
Tecnologia;17/05/2022;Privati;432
Forniture per ufficio;19/05/2022;Privati;1057
Forniture per ufficio;19/05/2022;Grandi aziende;160
Forniture per ufficio;19/05/2022;Piccole aziende;736
Tecnologia;19/05/2022;Privati;258
Mobili;20/05/2022;Privati;812
Forniture per ufficio;20/05/2022;Privati;312
Tecnologia;20/05/2022;Privati;859
Mobili;21/05/2022;Privati;156
Forniture per ufficio;21/05/2022;Privati;191
Forniture per ufficio;21/05/2022;Grandi aziende;122
Tecnologia;21/05/2022;Grandi aziende;73
Forniture per ufficio;22/05/2022;Privati;975
Forniture per ufficio;23/05/2022;Privati;1259
Forniture per ufficio;23/05/2022;Grandi aziende;213
Mobili;24/05/2022;Grandi aziende;298
Forniture per ufficio;24/05/2022;Privati;347
Forniture per ufficio;24/05/2022;Grandi aziende;300
Forniture per ufficio;24/05/2022;Piccole aziende;1472
Tecnologia;24/05/2022;Privati;647
Tecnologia;24/05/2022;Grandi aziende;875
Mobili;26/05/2022;Privati;1178
Mobili;26/05/2022;Piccole aziende;312
Forniture per ufficio;26/05/2022;Privati;167
Forniture per ufficio;26/05/2022;Piccole aziende;128
Tecnologia;26/05/2022;Privati;1053
Mobili;27/05/2022;Privati;603
Forniture per ufficio;27/05/2022;Privati;43
Forniture per ufficio;27/05/2022;Grandi aziende;255
Tecnologia;27/05/2022;Grandi aziende;981
Forniture per ufficio;28/05/2022;Privati;220
Tecnologia;28/05/2022;Privati;43
Mobili;29/05/2022;Privati;1685
Forniture per ufficio;29/05/2022;Privati;567
Forniture per ufficio;29/05/2022;Piccole aziende;1435
Tecnologia;29/05/2022;Privati;926
Tecnologia;29/05/2022;Piccole aziende;215
Forniture per ufficio;30/05/2022;Grandi aziende;1483
Forniture per ufficio;30/05/2022;Piccole aziende;214
Tecnologia;30/05/2022;Grandi aziende;550
Tecnologia;31/05/2022;Grandi aziende;789
Forniture per ufficio;02/06/2022;Privati;235
Forniture per ufficio;02/06/2022;Grandi aziende;222
Tecnologia;02/06/2022;Grandi aziende;1349
Mobili;03/06/2022;Privati;514
Forniture per ufficio;03/06/2022;Privati;2797
Forniture per ufficio;03/06/2022;Grandi aziende;346
Forniture per ufficio;03/06/2022;Piccole aziende;42
Mobili;04/06/2022;Privati;576
Mobili;04/06/2022;Grandi aziende;4189
Forniture per ufficio;04/06/2022;Privati;135
Forniture per ufficio;04/06/2022;Grandi aziende;613
Forniture per ufficio;04/06/2022;Piccole aziende;585
Tecnologia;04/06/2022;Grandi aziende;451
Tecnologia;04/06/2022;Piccole aziende;697
Forniture per ufficio;05/06/2022;Privati;350
Forniture per ufficio;05/06/2022;Grandi aziende;64
Tecnologia;05/06/2022;Privati;1249
Mobili;06/06/2022;Privati;1615
Forniture per ufficio;06/06/2022;Privati;607
Tecnologia;06/06/2022;Privati;377
Mobili;07/06/2022;Privati;948
Forniture per ufficio;07/06/2022;Privati;543
Forniture per ufficio;07/06/2022;Piccole aziende;118
Forniture per ufficio;08/06/2022;Privati;44
Tecnologia;08/06/2022;Privati;631
Mobili;09/06/2022;Privati;1415
Forniture per ufficio;09/06/2022;Privati;539
Forniture per ufficio;09/06/2022;Grandi aziende;1824
Forniture per ufficio;09/06/2022;Piccole aziende;525
Tecnologia;09/06/2022;Privati;2211
Tecnologia;09/06/2022;Grandi aziende;812
Mobili;10/06/2022;Grandi aziende;1421
Forniture per ufficio;10/06/2022;Privati;496
Forniture per ufficio;10/06/2022;Grandi aziende;671
Tecnologia;10/06/2022;Privati;1563
Tecnologia;10/06/2022;Grandi aziende;4432
Mobili;11/06/2022;Grandi aziende;422
Mobili;11/06/2022;Piccole aziende;586
Forniture per ufficio;11/06/2022;Privati;968
Forniture per ufficio;11/06/2022;Grandi aziende;471
Forniture per ufficio;11/06/2022;Piccole aziende;60
Tecnologia;11/06/2022;Privati;1530
Tecnologia;11/06/2022;Piccole aziende;529
Mobili;12/06/2022;Grandi aziende;820
Forniture per ufficio;12/06/2022;Privati;144
Forniture per ufficio;12/06/2022;Grandi aziende;823
Tecnologia;12/06/2022;Privati;1325
Tecnologia;12/06/2022;Grandi aziende;134
Mobili;13/06/2022;Privati;367
Forniture per ufficio;13/06/2022;Privati;272
Forniture per ufficio;13/06/2022;Grandi aziende;42
Tecnologia;13/06/2022;Grandi aziende;148
Mobili;14/06/2022;Privati;2040
Forniture per ufficio;14/06/2022;Privati;203
Forniture per ufficio;15/06/2022;Privati;107
Mobili;16/06/2022;Privati;277
Mobili;16/06/2022;Piccole aziende;78
Forniture per ufficio;16/06/2022;Privati;211
Forniture per ufficio;16/06/2022;Grandi aziende;142
Tecnologia;16/06/2022;Privati;453
Tecnologia;16/06/2022;Grandi aziende;193
Mobili;17/06/2022;Privati;37
Mobili;17/06/2022;Grandi aziende;2326
Forniture per ufficio;17/06/2022;Privati;134
Forniture per ufficio;17/06/2022;Grandi aziende;928
Tecnologia;17/06/2022;Grandi aziende;1915
Mobili;18/06/2022;Privati;33
Mobili;18/06/2022;Grandi aziende;231
Mobili;18/06/2022;Piccole aziende;216
Forniture per ufficio;18/06/2022;Privati;2893
Forniture per ufficio;18/06/2022;Grandi aziende;2022
Forniture per ufficio;18/06/2022;Piccole aziende;850
Tecnologia;18/06/2022;Privati;556
Tecnologia;18/06/2022;Grandi aziende;1024
Tecnologia;18/06/2022;Piccole aziende;321
Mobili;19/06/2022;Grandi aziende;1469
Forniture per ufficio;19/06/2022;Privati;45
Forniture per ufficio;19/06/2022;Piccole aziende;239
Tecnologia;19/06/2022;Grandi aziende;150
Tecnologia;19/06/2022;Piccole aziende;1800
Mobili;20/06/2022;Grandi aziende;87
Forniture per ufficio;20/06/2022;Privati;1009
Forniture per ufficio;20/06/2022;Grandi aziende;20
Tecnologia;20/06/2022;Grandi aziende;588
Mobili;21/06/2022;Grandi aziende;767
Mobili;21/06/2022;Piccole aziende;663
Forniture per ufficio;21/06/2022;Privati;114
Forniture per ufficio;21/06/2022;Grandi aziende;197
Tecnologia;21/06/2022;Privati;86
Forniture per ufficio;22/06/2022;Grandi aziende;77
Forniture per ufficio;22/06/2022;Piccole aziende;467
Mobili;23/06/2022;Privati;932
Mobili;23/06/2022;Grandi aziende;143
Forniture per ufficio;23/06/2022;Privati;196
Forniture per ufficio;23/06/2022;Grandi aziende;117
Forniture per ufficio;23/06/2022;Piccole aziende;33
Mobili;24/06/2022;Privati;782
Forniture per ufficio;24/06/2022;Privati;589
Forniture per ufficio;24/06/2022;Grandi aziende;396
Forniture per ufficio;24/06/2022;Piccole aziende;300
Tecnologia;24/06/2022;Privati;7028
Tecnologia;24/06/2022;Piccole aziende;219
Mobili;25/06/2022;Privati;373
Mobili;25/06/2022;Piccole aziende;1909
Forniture per ufficio;25/06/2022;Privati;118
Forniture per ufficio;25/06/2022;Grandi aziende;650
Forniture per ufficio;25/06/2022;Piccole aziende;135
Tecnologia;25/06/2022;Privati;1780
Tecnologia;25/06/2022;Grandi aziende;636
Mobili;26/06/2022;Privati;315
Mobili;26/06/2022;Piccole aziende;231
Forniture per ufficio;26/06/2022;Privati;142
Forniture per ufficio;26/06/2022;Grandi aziende;1036
Forniture per ufficio;26/06/2022;Piccole aziende;1453
Tecnologia;26/06/2022;Privati;860
Tecnologia;26/06/2022;Grandi aziende;4158
Mobili;27/06/2022;Privati;396
Mobili;27/06/2022;Grandi aziende;577
Mobili;27/06/2022;Piccole aziende;1301
Forniture per ufficio;27/06/2022;Privati;594
Forniture per ufficio;27/06/2022;Grandi aziende;697
Forniture per ufficio;27/06/2022;Piccole aziende;166
Tecnologia;27/06/2022;Privati;338
Tecnologia;27/06/2022;Piccole aziende;1559
Forniture per ufficio;28/06/2022;Piccole aziende;44
Mobili;29/06/2022;Privati;1420
Forniture per ufficio;29/06/2022;Privati;84
Tecnologia;29/06/2022;Privati;727
Mobili;30/06/2022;Grandi aziende;431
Mobili;30/06/2022;Piccole aziende;1307
Forniture per ufficio;30/06/2022;Privati;196
Forniture per ufficio;30/06/2022;Grandi aziende;976
Forniture per ufficio;30/06/2022;Piccole aziende;847
Tecnologia;30/06/2022;Piccole aziende;917
Forniture per ufficio;01/07/2022;Privati;516
Forniture per ufficio;01/07/2022;Grandi aziende;657
Tecnologia;01/07/2022;Privati;52
Tecnologia;01/07/2022;Grandi aziende;656
Mobili;02/07/2022;Privati;980
Forniture per ufficio;02/07/2022;Privati;428
Forniture per ufficio;02/07/2022;Piccole aziende;101
Mobili;03/07/2022;Privati;885
Mobili;03/07/2022;Grandi aziende;120
Forniture per ufficio;03/07/2022;Privati;1387
Forniture per ufficio;03/07/2022;Piccole aziende;230
Tecnologia;03/07/2022;Privati;2723
Forniture per ufficio;04/07/2022;Privati;337
Forniture per ufficio;04/07/2022;Grandi aziende;9
Tecnologia;04/07/2022;Privati;777
Mobili;05/07/2022;Piccole aziende;127
Forniture per ufficio;05/07/2022;Privati;576
Tecnologia;05/07/2022;Piccole aziende;2092
Mobili;07/07/2022;Privati;790
Mobili;07/07/2022;Grandi aziende;116
Forniture per ufficio;07/07/2022;Privati;212
Forniture per ufficio;07/07/2022;Grandi aziende;303
Tecnologia;07/07/2022;Grandi aziende;46
Forniture per ufficio;08/07/2022;Grandi aziende;43
Tecnologia;09/07/2022;Privati;2460
Mobili;10/07/2022;Grandi aziende;1347
Forniture per ufficio;10/07/2022;Privati;260
Tecnologia;10/07/2022;Grandi aziende;746
Mobili;11/07/2022;Grandi aziende;484
Forniture per ufficio;11/07/2022;Privati;1247
Tecnologia;11/07/2022;Privati;328
Forniture per ufficio;12/07/2022;Privati;813
Tecnologia;12/07/2022;Privati;763
Forniture per ufficio;13/07/2022;Privati;23
Tecnologia;13/07/2022;Privati;188
Mobili;14/07/2022;Privati;337
Forniture per ufficio;14/07/2022;Privati;1123
Forniture per ufficio;14/07/2022;Piccole aziende;70
Tecnologia;14/07/2022;Privati;4517
Forniture per ufficio;15/07/2022;Piccole aziende;80
Tecnologia;15/07/2022;Privati;188
Tecnologia;15/07/2022;Piccole aziende;497
Mobili;16/07/2022;Privati;795
Mobili;16/07/2022;Piccole aziende;777
Forniture per ufficio;16/07/2022;Privati;43
Forniture per ufficio;16/07/2022;Grandi aziende;289
Forniture per ufficio;16/07/2022;Piccole aziende;1581
Tecnologia;16/07/2022;Privati;479
Tecnologia;16/07/2022;Grandi aziende;56
Tecnologia;16/07/2022;Piccole aziende;282
Tecnologia;17/07/2022;Grandi aziende;67
Mobili;18/07/2022;Privati;625
Mobili;18/07/2022;Grandi aziende;1162
Tecnologia;18/07/2022;Grandi aziende;492
Mobili;19/07/2022;Privati;656
Forniture per ufficio;19/07/2022;Privati;790
Forniture per ufficio;21/07/2022;Privati;68
Forniture per ufficio;22/07/2022;Privati;559
Forniture per ufficio;22/07/2022;Grandi aziende;174
Tecnologia;22/07/2022;Privati;1013
Mobili;24/07/2022;Piccole aziende;209
Forniture per ufficio;24/07/2022;Privati;103
Forniture per ufficio;24/07/2022;Grandi aziende;211
Forniture per ufficio;24/07/2022;Piccole aziende;1444
Tecnologia;24/07/2022;Piccole aziende;808
Forniture per ufficio;25/07/2022;Grandi aziende;894
Mobili;26/07/2022;Grandi aziende;2193
Mobili;26/07/2022;Piccole aziende;151
Forniture per ufficio;26/07/2022;Piccole aziende;367
Tecnologia;27/07/2022;Grandi aziende;124
Mobili;28/07/2022;Privati;910
Forniture per ufficio;28/07/2022;Privati;838
Forniture per ufficio;28/07/2022;Grandi aziende;57
Tecnologia;28/07/2022;Piccole aziende;285
Forniture per ufficio;29/07/2022;Privati;44
Forniture per ufficio;29/07/2022;Grandi aziende;233
Forniture per ufficio;29/07/2022;Piccole aziende;498
Tecnologia;29/07/2022;Grandi aziende;486
Mobili;30/07/2022;Privati;305
Mobili;30/07/2022;Grandi aziende;511
Mobili;30/07/2022;Piccole aziende;1242
Forniture per ufficio;30/07/2022;Privati;493
Forniture per ufficio;30/07/2022;Grandi aziende;382
Forniture per ufficio;30/07/2022;Piccole aziende;214
Tecnologia;30/07/2022;Privati;878
Tecnologia;30/07/2022;Grandi aziende;2805
Mobili;31/07/2022;Privati;193
Forniture per ufficio;31/07/2022;Privati;145
Forniture per ufficio;31/07/2022;Grandi aziende;2291
Forniture per ufficio;31/07/2022;Piccole aziende;115
Tecnologia;31/07/2022;Privati;599
Mobili;01/08/2022;Privati;163
Forniture per ufficio;01/08/2022;Privati;174
Forniture per ufficio;01/08/2022;Grandi aziende;48
Mobili;02/08/2022;Privati;1641
Mobili;02/08/2022;Piccole aziende;1197
Forniture per ufficio;02/08/2022;Privati;1190
Forniture per ufficio;02/08/2022;Grandi aziende;47
Forniture per ufficio;02/08/2022;Piccole aziende;725
Tecnologia;02/08/2022;Privati;2127
Tecnologia;02/08/2022;Grandi aziende;1956
Tecnologia;02/08/2022;Piccole aziende;2916
Forniture per ufficio;03/08/2022;Privati;52
Forniture per ufficio;03/08/2022;Grandi aziende;116
Tecnologia;03/08/2022;Privati;231
Mobili;04/08/2022;Privati;654
Mobili;04/08/2022;Grandi aziende;2729
Forniture per ufficio;04/08/2022;Privati;3021
Forniture per ufficio;04/08/2022;Grandi aziende;626
Forniture per ufficio;04/08/2022;Piccole aziende;284
Tecnologia;04/08/2022;Privati;1828
Tecnologia;04/08/2022;Piccole aziende;1279
Mobili;05/08/2022;Grandi aziende;1055
Forniture per ufficio;05/08/2022;Privati;1019
Forniture per ufficio;05/08/2022;Grandi aziende;83
Tecnologia;05/08/2022;Privati;1214
Tecnologia;05/08/2022;Grandi aziende;265
Mobili;06/08/2022;Grandi aziende;1914
Forniture per ufficio;06/08/2022;Privati;1099
Forniture per ufficio;06/08/2022;Grandi aziende;1086
Forniture per ufficio;06/08/2022;Piccole aziende;289
Tecnologia;06/08/2022;Privati;2055
Tecnologia;06/08/2022;Grandi aziende;3390
Mobili;07/08/2022;Grandi aziende;1403
Mobili;07/08/2022;Piccole aziende;705
Forniture per ufficio;07/08/2022;Privati;797
Forniture per ufficio;07/08/2022;Grandi aziende;703
Forniture per ufficio;07/08/2022;Piccole aziende;1510
Tecnologia;07/08/2022;Privati;577
Tecnologia;07/08/2022;Grandi aziende;1914
Mobili;08/08/2022;Privati;1136
Mobili;08/08/2022;Grandi aziende;258
Forniture per ufficio;08/08/2022;Privati;1089
Forniture per ufficio;08/08/2022;Grandi aziende;56
Forniture per ufficio;08/08/2022;Piccole aziende;910
Tecnologia;08/08/2022;Privati;2945
Tecnologia;08/08/2022;Grandi aziende;292
Mobili;09/08/2022;Privati;221
Forniture per ufficio;09/08/2022;Privati;419
Forniture per ufficio;09/08/2022;Piccole aziende;526
Tecnologia;09/08/2022;Privati;1162
Mobili;11/08/2022;Privati;38
Mobili;11/08/2022;Grandi aziende;564
Mobili;11/08/2022;Piccole aziende;788
Forniture per ufficio;11/08/2022;Privati;650
Forniture per ufficio;11/08/2022;Grandi aziende;275
Forniture per ufficio;11/08/2022;Piccole aziende;2275
Tecnologia;11/08/2022;Privati;221
Tecnologia;11/08/2022;Grandi aziende;6732
Tecnologia;11/08/2022;Piccole aziende;841
Mobili;12/08/2022;Privati;777
Mobili;12/08/2022;Grandi aziende;57
Mobili;12/08/2022;Piccole aziende;203
Forniture per ufficio;12/08/2022;Privati;931
Forniture per ufficio;12/08/2022;Grandi aziende;635
Forniture per ufficio;12/08/2022;Piccole aziende;1715
Tecnologia;12/08/2022;Privati;901
Tecnologia;12/08/2022;Piccole aziende;636
Mobili;13/08/2022;Privati;1145
Mobili;13/08/2022;Grandi aziende;161
Forniture per ufficio;13/08/2022;Privati;1116
Forniture per ufficio;13/08/2022;Grandi aziende;2131
Forniture per ufficio;13/08/2022;Piccole aziende;278
Tecnologia;13/08/2022;Privati;130
Tecnologia;13/08/2022;Grandi aziende;2495
Mobili;14/08/2022;Privati;199
Forniture per ufficio;14/08/2022;Privati;1095
Forniture per ufficio;14/08/2022;Grandi aziende;121
Forniture per ufficio;14/08/2022;Piccole aziende;294
Tecnologia;14/08/2022;Privati;2565
Tecnologia;14/08/2022;Piccole aziende;1674
Mobili;15/08/2022;Privati;205
Forniture per ufficio;15/08/2022;Privati;856
Forniture per ufficio;15/08/2022;Grandi aziende;298
Forniture per ufficio;15/08/2022;Piccole aziende;28
Tecnologia;15/08/2022;Privati;3875
Mobili;16/08/2022;Grandi aziende;149
Mobili;16/08/2022;Piccole aziende;295
Forniture per ufficio;16/08/2022;Privati;604
Forniture per ufficio;16/08/2022;Grandi aziende;481
Forniture per ufficio;16/08/2022;Piccole aziende;300
Tecnologia;16/08/2022;Grandi aziende;2116
Mobili;18/08/2022;Privati;555
Forniture per ufficio;18/08/2022;Privati;2317
Forniture per ufficio;18/08/2022;Grandi aziende;247
Forniture per ufficio;18/08/2022;Piccole aziende;116
Tecnologia;18/08/2022;Privati;1196
Mobili;19/08/2022;Grandi aziende;1244
Forniture per ufficio;19/08/2022;Privati;560
Forniture per ufficio;19/08/2022;Grandi aziende;1596
Forniture per ufficio;19/08/2022;Piccole aziende;289
Tecnologia;19/08/2022;Privati;1776
Tecnologia;19/08/2022;Grandi aziende;87
Mobili;20/08/2022;Privati;758
Mobili;20/08/2022;Piccole aziende;147
Forniture per ufficio;20/08/2022;Privati;157
Forniture per ufficio;20/08/2022;Grandi aziende;529
Forniture per ufficio;20/08/2022;Piccole aziende;663
Tecnologia;20/08/2022;Grandi aziende;212
Mobili;21/08/2022;Grandi aziende;550
Mobili;21/08/2022;Piccole aziende;1065
Forniture per ufficio;21/08/2022;Privati;865
Forniture per ufficio;21/08/2022;Grandi aziende;147
Forniture per ufficio;21/08/2022;Piccole aziende;352
Tecnologia;21/08/2022;Privati;674
Tecnologia;21/08/2022;Piccole aziende;39
Mobili;22/08/2022;Privati;1986
Mobili;22/08/2022;Grandi aziende;399
Mobili;22/08/2022;Piccole aziende;404
Forniture per ufficio;22/08/2022;Privati;793
Forniture per ufficio;22/08/2022;Grandi aziende;1295
Forniture per ufficio;22/08/2022;Piccole aziende;23
Tecnologia;22/08/2022;Privati;2121
Tecnologia;22/08/2022;Grandi aziende;1008
Tecnologia;22/08/2022;Piccole aziende;43
Mobili;23/08/2022;Privati;290
Forniture per ufficio;23/08/2022;Privati;363
Tecnologia;23/08/2022;Privati;813
Forniture per ufficio;24/08/2022;Privati;132
Mobili;25/08/2022;Piccole aziende;838
Forniture per ufficio;25/08/2022;Privati;2152
Forniture per ufficio;25/08/2022;Grandi aziende;162
Forniture per ufficio;25/08/2022;Piccole aziende;35
Tecnologia;25/08/2022;Privati;129
Tecnologia;25/08/2022;Grandi aziende;1104
Mobili;26/08/2022;Grandi aziende;700
Forniture per ufficio;26/08/2022;Privati;357
Forniture per ufficio;26/08/2022;Grandi aziende;200
Forniture per ufficio;26/08/2022;Piccole aziende;57
Tecnologia;26/08/2022;Privati;165
Tecnologia;26/08/2022;Grandi aziende;436
Mobili;27/08/2022;Privati;151
Forniture per ufficio;27/08/2022;Privati;268
Forniture per ufficio;27/08/2022;Grandi aziende;815
Forniture per ufficio;27/08/2022;Piccole aziende;290
Tecnologia;27/08/2022;Grandi aziende;558
Mobili;28/08/2022;Piccole aziende;738
Forniture per ufficio;28/08/2022;Privati;721
Forniture per ufficio;28/08/2022;Grandi aziende;36
Forniture per ufficio;28/08/2022;Piccole aziende;476
Tecnologia;28/08/2022;Privati;198
Tecnologia;28/08/2022;Grandi aziende;740
Tecnologia;28/08/2022;Piccole aziende;1045
Mobili;29/08/2022;Privati;2516
Forniture per ufficio;29/08/2022;Privati;1247
Forniture per ufficio;29/08/2022;Grandi aziende;478
Forniture per ufficio;29/08/2022;Piccole aziende;20
Tecnologia;29/08/2022;Privati;1508
Tecnologia;29/08/2022;Grandi aziende;73
Tecnologia;29/08/2022;Piccole aziende;5867
Mobili;30/08/2022;Privati;2343
Forniture per ufficio;30/08/2022;Privati;180
Forniture per ufficio;30/08/2022;Grandi aziende;339
Forniture per ufficio;31/08/2022;Piccole aziende;44
Mobili;01/09/2022;Privati;77
Forniture per ufficio;01/09/2022;Privati;681
Forniture per ufficio;01/09/2022;Grandi aziende;152
Forniture per ufficio;01/09/2022;Piccole aziende;1061
Tecnologia;01/09/2022;Privati;794
Tecnologia;01/09/2022;Grandi aziende;509
Tecnologia;01/09/2022;Piccole aziende;2566
Mobili;02/09/2022;Privati;1143
Mobili;02/09/2022;Grandi aziende;2305
Forniture per ufficio;02/09/2022;Privati;1280
Forniture per ufficio;02/09/2022;Grandi aziende;733
Tecnologia;02/09/2022;Privati;1933
Tecnologia;02/09/2022;Grandi aziende;104
Mobili;03/09/2022;Privati;232
Mobili;03/09/2022;Grandi aziende;298
Forniture per ufficio;03/09/2022;Privati;761
Forniture per ufficio;03/09/2022;Grandi aziende;319
Tecnologia;03/09/2022;Privati;303
Tecnologia;03/09/2022;Grandi aziende;1372
Mobili;04/09/2022;Privati;2972
Mobili;04/09/2022;Piccole aziende;1898
Forniture per ufficio;04/09/2022;Privati;905
Forniture per ufficio;04/09/2022;Grandi aziende;857
Tecnologia;04/09/2022;Privati;194
Tecnologia;04/09/2022;Grandi aziende;884
Forniture per ufficio;05/09/2022;Privati;1685
Forniture per ufficio;05/09/2022;Grandi aziende;91
Forniture per ufficio;05/09/2022;Piccole aziende;8
Tecnologia;05/09/2022;Piccole aziende;278
Mobili;06/09/2022;Privati;1091
Mobili;06/09/2022;Piccole aziende;1527
Forniture per ufficio;06/09/2022;Privati;1426
Forniture per ufficio;06/09/2022;Piccole aziende;43
Tecnologia;06/09/2022;Privati;2366
Tecnologia;06/09/2022;Grandi aziende;276
Tecnologia;06/09/2022;Piccole aziende;376
Mobili;08/09/2022;Privati;1135
Forniture per ufficio;08/09/2022;Privati;134
Forniture per ufficio;08/09/2022;Grandi aziende;8036
Forniture per ufficio;08/09/2022;Piccole aziende;76
Tecnologia;08/09/2022;Grandi aziende;2084
Mobili;09/09/2022;Privati;114
Forniture per ufficio;09/09/2022;Privati;39
Forniture per ufficio;09/09/2022;Grandi aziende;546
Forniture per ufficio;09/09/2022;Piccole aziende;448
Tecnologia;09/09/2022;Privati;915
Mobili;10/09/2022;Grandi aziende;55
Forniture per ufficio;10/09/2022;Privati;475
Forniture per ufficio;10/09/2022;Grandi aziende;16
Tecnologia;10/09/2022;Privati;192
Tecnologia;10/09/2022;Grandi aziende;769
Mobili;11/09/2022;Grandi aziende;2341
Forniture per ufficio;11/09/2022;Privati;1222
Forniture per ufficio;11/09/2022;Grandi aziende;918
Forniture per ufficio;11/09/2022;Piccole aziende;390
Tecnologia;11/09/2022;Privati;529
Tecnologia;11/09/2022;Grandi aziende;599
Tecnologia;11/09/2022;Piccole aziende;444
Mobili;12/09/2022;Privati;1212
Mobili;12/09/2022;Grandi aziende;233
Mobili;12/09/2022;Piccole aziende;467
Forniture per ufficio;12/09/2022;Privati;151
Forniture per ufficio;12/09/2022;Grandi aziende;386
Forniture per ufficio;12/09/2022;Piccole aziende;285
Tecnologia;12/09/2022;Privati;179
Tecnologia;12/09/2022;Grandi aziende;270
Tecnologia;12/09/2022;Piccole aziende;974
Forniture per ufficio;13/09/2022;Piccole aziende;546
Mobili;15/09/2022;Privati;764
Mobili;15/09/2022;Piccole aziende;46
Forniture per ufficio;15/09/2022;Privati;1151
Forniture per ufficio;15/09/2022;Grandi aziende;44
Tecnologia;15/09/2022;Privati;1046
Tecnologia;15/09/2022;Grandi aziende;328
Mobili;16/09/2022;Privati;98
Mobili;16/09/2022;Piccole aziende;311
Forniture per ufficio;16/09/2022;Privati;868
Forniture per ufficio;16/09/2022;Grandi aziende;1389
Forniture per ufficio;16/09/2022;Piccole aziende;184
Tecnologia;16/09/2022;Privati;1653
Tecnologia;16/09/2022;Grandi aziende;560
Tecnologia;16/09/2022;Piccole aziende;2745
Mobili;17/09/2022;Privati;1592
Mobili;17/09/2022;Grandi aziende;469
Mobili;17/09/2022;Piccole aziende;2156
Forniture per ufficio;17/09/2022;Privati;413
Forniture per ufficio;17/09/2022;Grandi aziende;50
Forniture per ufficio;17/09/2022;Piccole aziende;122
Tecnologia;17/09/2022;Privati;1318
Tecnologia;17/09/2022;Grandi aziende;790
Mobili;18/09/2022;Grandi aziende;4316
Forniture per ufficio;18/09/2022;Privati;380
Forniture per ufficio;18/09/2022;Grandi aziende;555
Tecnologia;18/09/2022;Privati;185
Forniture per ufficio;19/09/2022;Privati;814
Forniture per ufficio;19/09/2022;Grandi aziende;711
Forniture per ufficio;19/09/2022;Piccole aziende;117
Tecnologia;19/09/2022;Privati;1589
Tecnologia;19/09/2022;Grandi aziende;1682
Mobili;20/09/2022;Privati;1952
Forniture per ufficio;20/09/2022;Privati;546
Forniture per ufficio;20/09/2022;Grandi aziende;275
Tecnologia;20/09/2022;Privati;522
Forniture per ufficio;21/09/2022;Piccole aziende;71
Tecnologia;21/09/2022;Piccole aziende;647
Forniture per ufficio;22/09/2022;Privati;550
Forniture per ufficio;22/09/2022;Grandi aziende;918
Mobili;23/09/2022;Privati;121
Mobili;23/09/2022;Grandi aziende;886
Mobili;23/09/2022;Piccole aziende;668
Forniture per ufficio;23/09/2022;Privati;13
